No.,Title,URL,View,Date
48,"""중앙대학교 산업보안학과 대학원생 2018 대한변...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=750,667,2019.01.02
49,"""중앙대학교 산업보안학과 대학원생 제 13회 대학...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=749,397,2019.01.02
50,'BOE 사태' 뼈저린 교훈…,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=748,381,2018.12.29
51,보안 빠진 '스마트공장' 3만개 육성계획...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=747,273,2018.12.29
52,중국의 사이버보안법 발효와 데이터 주권,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=746,365,2018.12.29
53,전자서명법 개정에 따른 미래 전망,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=745,256,2018.12.28
54,"""중앙대 산업보안학과 학부생 AI 기반 악성 코드 ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=6&skey=&keyword=&mode=view&bltn_seq=743,439,2018.12.22
55,산업보안관리사 합격 ,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=741,634,2018.12.21
56,"""중앙대 산업보안학과 박진경 2018 온라인 개인정...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=740,567,2018.12.21
57,"""중앙대 산업보안학과 대학원생 2018 KDFS 디지털...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=739,586,2018.12.20
58,"""중앙대 산업보안학과 대학원생 한국스마트미디어...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=737,524,2018.12.20
59,"""1년 지나서야 유출 감지..잘나가던 강소기업 한...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=728,485,2018.11.25
60,"""R&D예산 20조에 보안은 고작 60억...'기술유출 ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=727,445,2018.11.25
61,"""기술 빼돌려도 이익 안봤으면 무죄? '부정한 목...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=726,446,2018.11.25
62,"""기업 해외진출 앞서 정부가 보안 진단을… 정부 ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=725,424,2018.11.25
63,"""경찰의 산업기술유출수사 전문성 강화를 위한 학...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=7&skey=&keyword=&mode=view&bltn_seq=722,406,2018.11.22
64,"""중앙대 산업보안학과 대학원생(김정욱 석사과정 ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=720,641,2018.11.18
65,"""중앙대학교 산업보안학과, 2018 제 4회 산업보안...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=717,853,2018.11.07
66,"""중앙대 산업보안학과,블록체인서비스 연구 메카...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=714,562,2018.11.05
67,"""중앙대 산업보안학과 장항배 교수, 학술 발전에 ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=711,709,2018.11.01
68,"""금융보안원 주최, 2018년 금융정보보호 논문 공...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=709,547,2018.10.30
69,"""2018년 산업보안논문경진대회 은상, 동상 수상 ""...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=702,575,2018.10.28
70,"""산업기술보호의 날"" 중앙대 장항배, 손승우 교수...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=701,488,2018.10.28
71,LED 기술에 양배추 종자까지…도넘은 `해외 유출'...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=682,627,2018.09.18
72,"지적재산 생태계 복원, 3배 배상제 도입 시급",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=8&skey=&keyword=&mode=view&bltn_seq=681,517,2018.09.18
73,"중앙대,‘2018 대학ICT연구센터(ITRC) 지원사업, ...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=654,823,2018.08.23
74,중앙대 산업보안학과 이지은 학생 ‘2018 대학생 ...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=644,"1,361",2018.07.24
75,"인증, 4차산업시대에 맞춘 글로벌적 산업 자원 차...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=640,732,2018.07.17
76,핵심기술 노린 산업스파이…눈 뜨고 당한다.,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=637,884,2018.07.10
77,[미래포럼]혁신성장을 위한 ICT 연구개발 환경 필...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=631,671,2018.07.10
78,"중앙대, ‘산업보안 특성화학과 지원사업’ 선정",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=626,830,2018.07.04
79,CAU 튜터링 산업보안학과 최우수상 수상,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=9&skey=&keyword=&mode=view&bltn_seq=624,892,2018.06.26
